from_id,to_id,type,score,note
lens_s35f18,brand_sony,PRODUCED_BY,,
cam_a7m4,lens_s35f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c2,lens_s35f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c,lens_s35f18,COMPATIBLE_WITH,,市场热销镜头适配
lens_s35f18,use_portrait,LENS_SUITABLE_FOR,88,人像/街拍常用轻便定焦
lens_s35f18,use_street,LENS_SUITABLE_FOR,88,人像/街拍常用轻便定焦
lens_s85f18,brand_sony,PRODUCED_BY,,
cam_a7m4,lens_s85f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c2,lens_s85f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c,lens_s85f18,COMPATIBLE_WITH,,市场热销镜头适配
lens_s85f18,use_portrait,LENS_SUITABLE_FOR,88,高性价比人像定焦
lens_s55f18,brand_sony,PRODUCED_BY,,
cam_a7m4,lens_s55f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c2,lens_s55f18,COMPATIBLE_WITH,,市场热销镜头适配
lens_s55f18,use_portrait,LENS_SUITABLE_FOR,88,轻便高画质标准定焦
lens_s55f18,use_street,LENS_SUITABLE_FOR,88,轻便高画质标准定焦
lens_s20f18g,brand_sony,PRODUCED_BY,,
cam_a7m4,lens_s20f18g,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7c2,lens_s20f18g,COMPATIBLE_WITH,,市场热销镜头适配
cam_fx3,lens_s20f18g,COMPATIBLE_WITH,,市场热销镜头适配
lens_s20f18g,use_landscape,LENS_SUITABLE_FOR,88,风光星空和Vlog广角定焦
lens_s20f18g,use_video,LENS_SUITABLE_FOR,88,风光星空和Vlog广角定焦
lens_s1224f4,brand_sony,PRODUCED_BY,,
cam_a7r5,lens_s1224f4,COMPATIBLE_WITH,,市场热销镜头适配
cam_a7m4,lens_s1224f4,COMPATIBLE_WITH,,市场热销镜头适配
lens_s1224f4,use_landscape,LENS_SUITABLE_FOR,88,风光建筑超广角镜头
lens_s200600,brand_sony,PRODUCED_BY,,
cam_a9m3,lens_s200600,COMPATIBLE_WITH,,市场热销镜头适配
cam_a1,lens_s200600,COMPATIBLE_WITH,,市场热销镜头适配
lens_s200600,use_sports,LENS_SUITABLE_FOR,88,生态体育常用长焦
lens_c3518,brand_canon,PRODUCED_BY,,
cam_r8,lens_c3518,COMPATIBLE_WITH,,市场热销镜头适配
cam_r6m2,lens_c3518,COMPATIBLE_WITH,,市场热销镜头适配
cam_rp,lens_c3518,COMPATIBLE_WITH,,市场热销镜头适配
lens_c3518,use_street,LENS_SUITABLE_FOR,88,轻便人文街拍定焦
lens_c3518,use_portrait,LENS_SUITABLE_FOR,88,轻便人文街拍定焦
lens_c8512,brand_canon,PRODUCED_BY,,
cam_r5m2,lens_c8512,COMPATIBLE_WITH,,市场热销镜头适配
cam_r6m2,lens_c8512,COMPATIBLE_WITH,,市场热销镜头适配
cam_r8,lens_c8512,COMPATIBLE_WITH,,市场热销镜头适配
lens_c8512,use_portrait,LENS_SUITABLE_FOR,88,高端人像定焦
lens_c1535,brand_canon,PRODUCED_BY,,
cam_r5m2,lens_c1535,COMPATIBLE_WITH,,市场热销镜头适配
cam_r6m2,lens_c1535,COMPATIBLE_WITH,,市场热销镜头适配
lens_c1535,use_landscape,LENS_SUITABLE_FOR,88,风光视频广角大三元
lens_c1535,use_video,LENS_SUITABLE_FOR,88,风光视频广角大三元
lens_c100500,brand_canon,PRODUCED_BY,,
cam_r3,lens_c100500,COMPATIBLE_WITH,,市场热销镜头适配
cam_r5m2,lens_c100500,COMPATIBLE_WITH,,市场热销镜头适配
cam_r7,lens_c100500,COMPATIBLE_WITH,,市场热销镜头适配
lens_c100500,use_sports,LENS_SUITABLE_FOR,88,生态体育长焦
lens_c2870,brand_canon,PRODUCED_BY,,
cam_r5m2,lens_c2870,COMPATIBLE_WITH,,市场热销镜头适配
cam_r6m2,lens_c2870,COMPATIBLE_WITH,,市场热销镜头适配
lens_c2870,use_portrait,LENS_SUITABLE_FOR,88,高端人像商业标准变焦
lens_c2870,use_studio,LENS_SUITABLE_FOR,88,高端人像商业标准变焦
lens_c5018,brand_canon,PRODUCED_BY,,
cam_r50,lens_c5018,COMPATIBLE_WITH,,市场热销镜头适配
cam_r100,lens_c5018,COMPATIBLE_WITH,,市场热销镜头适配
cam_r8,lens_c5018,COMPATIBLE_WITH,,市场热销镜头适配
lens_c5018,use_beginner,LENS_SUITABLE_FOR,88,入门人像小痰盂
lens_c5018,use_portrait,LENS_SUITABLE_FOR,88,入门人像小痰盂
lens_n35f18,brand_nikon,PRODUCED_BY,,
cam_z6m3,lens_n35f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_zf,lens_n35f18,COMPATIBLE_WITH,,市场热销镜头适配
lens_n35f18,use_street,LENS_SUITABLE_FOR,88,街拍人文定焦
lens_n35f18,use_portrait,LENS_SUITABLE_FOR,88,街拍人文定焦
lens_n85f18,brand_nikon,PRODUCED_BY,,
cam_z6m3,lens_n85f18,COMPATIBLE_WITH,,市场热销镜头适配
cam_z8,lens_n85f18,COMPATIBLE_WITH,,市场热销镜头适配
lens_n85f18,use_portrait,LENS_SUITABLE_FOR,88,人像定焦
lens_n1430,brand_nikon,PRODUCED_BY,,
