from_id,to_id,type,score,note
cam_a7c2,use_landscape,suitableFor,84,轻便高像素全画幅，适合旅行风光
cam_a7c2,use_street,suitableFor,90,轻便全画幅适合扫街
cam_zve10,use_live,suitableFor,92,Vlog和直播入门友好
cam_zve10,use_street,suitableFor,78,轻便便宜适合日常扫街
cam_r100,use_live,suitableFor,82,低价4K入门直播选择
cam_r100,use_street,suitableFor,78,轻便低价
cam_r50,use_live,suitableFor,88,翻转屏和佳能对焦适合直播短视频
cam_r50,use_street,suitableFor,82,轻便便携
cam_xt5,use_landscape,suitableFor,92,高像素和胶片模拟适合风光
cam_xt5,use_street,suitableFor,88,复古操作和直出适合街拍
cam_xs20,use_live,suitableFor,92,视频能力和续航适合直播Vlog
cam_xm5,use_street,suitableFor,92,轻便复古适合扫街
cam_s9,use_live,suitableFor,90,轻便全画幅视频机
cam_gh7,use_live,suitableFor,94,专业视频规格适合直播和视频工作流
cam_gr3,use_street,suitableFor,96,街拍经典便携机
cam_gr3x,use_street,suitableFor,95,40mm视角适合街拍和环境人像
cam_x2d,use_landscape,suitableFor,94,中画幅高像素适合风光商业
cam_x2d,use_studio,suitableFor,96,中画幅高像素适合商业棚拍
cam_pocket3,use_live,suitableFor,90,云台稳定和便携适合直播Vlog
profile_beginner_low,cam_zve10,recommendedCamera,95,低预算新手优先推荐
profile_beginner_low,cam_r100,recommendedCamera,94,价格低操作简单
profile_beginner_low,cam_r50,recommendedCamera,88,预算稍高时更均衡
profile_beginner_video,cam_zve10,recommendedCamera,96,Vlog入门热销
profile_beginner_video,cam_pocket3,recommendedCamera,94,最简单的视频记录设备
profile_beginner_video,cam_r50,recommendedCamera,88,照片视频兼顾
profile_travel_light,cam_a7c2,recommendedCamera,94,轻便全画幅旅行
profile_travel_light,cam_xm5,recommendedCamera,90,轻便复古街拍
profile_travel_light,cam_gr3,recommendedCamera,92,口袋街拍旅行
profile_portrait_ff,cam_a7c2,recommendedCamera,92,轻便全画幅人像
profile_portrait_ff,cam_r8,recommendedCamera,90,佳能轻量全画幅
profile_portrait_ff,cam_z5m2,recommendedCamera,86,尼康入门全画幅
profile_video_pro,cam_fx3,recommendedCamera,96,专业视频定位
profile_video_pro,cam_gh7,recommendedCamera,94,M43专业视频旗舰
profile_video_pro,cam_s5m2,recommendedCamera,90,全画幅视频照片均衡
profile_sports_bird,cam_a9m3,recommendedCamera,98,高速运动旗舰
profile_sports_bird,cam_z9,recommendedCamera,96,旗舰生态和连拍
profile_sports_bird,cam_om1m2,recommendedCamera,90,M43长焦生态轻量
profile_studio_commercial,cam_x2d,recommendedCamera,96,中画幅商业棚拍
profile_studio_commercial,cam_gfx100m2,recommendedCamera,94,富士中画幅高像素
price_jd_zve10,cam_zve10,priceOf,,
price_official_zve10,cam_zve10,priceOf,,
price_used_zve10,cam_zve10,priceOf,,
price_jd_r100,cam_r100,priceOf,,
price_official_r100,cam_r100,priceOf,,
price_used_r100,cam_r100,priceOf,,
price_jd_r50,cam_r50,priceOf,,
price_official_r50,cam_r50,priceOf,,
price_used_r50,cam_r50,priceOf,,
price_jd_a7c2,cam_a7c2,priceOf,,
price_official_a7c2,cam_a7c2,priceOf,,
price_used_a7c2,cam_a7c2,priceOf,,
price_jd_xt5,cam_xt5,priceOf,,
price_official_xt5,cam_xt5,priceOf,,
price_used_xt5,cam_xt5,priceOf,,
review_zve10,cam_zve10,reviewOf,,
review_r100,cam_r100,reviewOf,,
review_r50,cam_r50,reviewOf,,
review_a7c2,cam_a7c2,reviewOf,,
review_xt5,cam_xt5,reviewOf,,
