from_id,to_id,type,score,note
cam_a7c2,brand_sony,producedBy,,
cam_a7c2,cat_ff,belongsToCategory,,
cam_a7c2,lens_s2860,compatibleWith,,
cam_a7c2,lens_s24105,compatibleWith,,
cam_a7c2,lens_s2470,compatibleWith,,
cam_a7c2,use_travel,suitableFor,96,轻便全画幅，适合旅行随拍
cam_a7c2,use_portrait,suitableFor,90,全画幅画质和对焦适合人像
cam_a7c2,use_video,suitableFor,88,支持4K视频和轻便创作
cam_zve10,brand_sony,producedBy,,
cam_zve10,cat_apsc,belongsToCategory,,
cam_zve10,lens_s1650p,compatibleWith,,
cam_zve10,lens_s18135,compatibleWith,,
cam_zve10,use_beginner,suitableFor,96,价格友好，适合新手视频入门
cam_zve10,use_video,suitableFor,94,Vlog定位明确
cam_zve10m2,brand_sony,producedBy,,
cam_zve10m2,cat_apsc,belongsToCategory,,
cam_zve10m2,lens_s1650p,compatibleWith,,
cam_zve10m2,lens_s18135,compatibleWith,,
cam_zve10m2,use_video,suitableFor,96,新一代视频入门机
cam_zve10m2,use_beginner,suitableFor,88,操作简单适合入门
cam_a6400,brand_sony,producedBy,,
cam_a6400,cat_apsc,belongsToCategory,,
cam_a6400,lens_s1650p,compatibleWith,,
cam_a6400,lens_s18135,compatibleWith,,
cam_a6400,use_beginner,suitableFor,84,对焦强，入门进阶皆可
cam_a6400,use_travel,suitableFor,82,机身轻便
cam_a7cr,brand_sony,producedBy,,
cam_a7cr,cat_ff,belongsToCategory,,
cam_a7cr,lens_s2860,compatibleWith,,
cam_a7cr,lens_s24105,compatibleWith,,
cam_a7cr,use_travel,suitableFor,88,轻便高像素
cam_a7cr,use_professional,suitableFor,86,高像素适合商业风光
cam_r100,brand_canon,producedBy,,
cam_r100,cat_apsc,belongsToCategory,,
cam_r100,lens_c1845,compatibleWith,,
cam_r100,lens_c18150,compatibleWith,,
cam_r100,use_beginner,suitableFor,96,低价轻便，适合学生家庭
cam_r100,use_travel,suitableFor,80,轻便易携带
cam_r10,brand_canon,producedBy,,
cam_r10,cat_apsc,belongsToCategory,,
cam_r10,lens_c1845,compatibleWith,,
cam_r10,lens_c18150,compatibleWith,,
cam_r10,use_beginner,suitableFor,86,对焦和连拍表现适合进阶
cam_r10,use_sports,suitableFor,82,APS-C连拍适合入门运动题材
cam_r8,brand_canon,producedBy,,
cam_r8,cat_ff,belongsToCategory,,
cam_r8,lens_c24105,compatibleWith,,
cam_r8,lens_c2470,compatibleWith,,
cam_r8,use_portrait,suitableFor,90,轻量全画幅适合人像
cam_r8,use_video,suitableFor,86,全画幅视频能力均衡
cam_z30,brand_nikon,producedBy,,
cam_z30,cat_apsc,belongsToCategory,,
cam_z30,lens_n1650,compatibleWith,,
cam_z30,lens_n18140,compatibleWith,,
cam_z30,use_beginner,suitableFor,94,入门Vlog和日常记录
cam_z30,use_video,suitableFor,88,适合轻量视频
cam_z50m2,brand_nikon,producedBy,,
cam_z50m2,cat_apsc,belongsToCategory,,
cam_z50m2,lens_n1650,compatibleWith,,
cam_z50m2,lens_n18140,compatibleWith,,
cam_z50m2,use_beginner,suitableFor,92,套机焦段覆盖广，新手友好
cam_z50m2,use_travel,suitableFor,88,适合旅行
cam_z5m2,brand_nikon,producedBy,,
cam_z5m2,cat_ff,belongsToCategory,,
cam_z5m2,lens_n2450,compatibleWith,,
cam_z5m2,lens_n2470,compatibleWith,,
cam_z5m2,use_portrait,suitableFor,86,入门全画幅
cam_z5m2,use_beginner,suitableFor,80,适合预算充足的新手升级全画幅
cam_xs20,brand_fuji,producedBy,,
cam_xs20,cat_apsc,belongsToCategory,,
cam_xs20,lens_fxc35,compatibleWith,,
cam_xs20,lens_f1650,compatibleWith,,
cam_xs20,lens_f1655,compatibleWith,,
cam_xs20,use_video,suitableFor,96,6K和4K能力强，适合Vlog
cam_xs20,use_travel,suitableFor,94,轻便续航好
cam_xs20,use_beginner,suitableFor,88,直出色彩好
cam_xm5,brand_fuji,producedBy,,
cam_xm5,cat_apsc,belongsToCategory,,
cam_xm5,lens_fxc35,compatibleWith,,
cam_xm5,lens_f1545,compatibleWith,,
cam_xm5,use_beginner,suitableFor,92,轻便复古，适合新手和街拍
cam_xm5,use_travel,suitableFor,94,重量低适合随身携带
cam_xs10,brand_fuji,producedBy,,
cam_xs10,cat_apsc,belongsToCategory,,
cam_xs10,lens_f1545,compatibleWith,,
cam_xs10,lens_f1655,compatibleWith,,
cam_xs10,use_beginner,suitableFor,82,具备防抖，性价比较好
cam_a7c,brand_sony,producedBy,,
cam_a7c,cat_ff,belongsToCategory,,
cam_a7c,lens_s2860,compatibleWith,,
cam_a7c,lens_s24105,compatibleWith,,
cam_a7c,use_travel,suitableFor,88,轻便全画幅老款
cam_rp,brand_canon,producedBy,,
cam_rp,cat_ff,belongsToCategory,,
cam_rp,lens_c24105,compatibleWith,,
cam_rp,use_beginner,suitableFor,78,低价全画幅入门
lens_s2860,brand_sony,producedBy,,
lens_s24105,brand_sony,producedBy,,
lens_s1650p,brand_sony,producedBy,,
lens_s18135,brand_sony,producedBy,,
lens_c1845,brand_canon,producedBy,,
lens_c18150,brand_canon,producedBy,,
lens_c24105,brand_canon,producedBy,,
lens_n1650,brand_nikon,producedBy,,
lens_n18140,brand_nikon,producedBy,,
lens_n2450,brand_nikon,producedBy,,
lens_fxc35,brand_fuji,producedBy,,
lens_f1650,brand_fuji,producedBy,,
lens_f1545,brand_fuji,producedBy,,
cam_a7c2,reason_light,hasReason,,
cam_a7c2,reason_full_frame,hasReason,,
cam_a7c2,reason_video,hasReason,,
cam_zve10,reason_low_cost,hasReason,,
cam_zve10,reason_video,hasReason,,
cam_zve10m2,reason_video,hasReason,,
cam_a6400,reason_low_cost,hasReason,,
cam_a7cr,reason_full_frame,hasReason,,
cam_r100,reason_low_cost,hasReason,,
cam_r10,reason_fast,hasReason,,
cam_r8,reason_full_frame,hasReason,,
cam_z30,reason_video,hasReason,,
cam_z30,reason_low_cost,hasReason,,
cam_z50m2,reason_low_cost,hasReason,,
cam_z5m2,reason_full_frame,hasReason,,
cam_xs20,reason_video,hasReason,,
cam_xs20,reason_light,hasReason,,
cam_xm5,reason_light,hasReason,,
cam_xs10,reason_low_cost,hasReason,,
cam_a7c,reason_light,hasReason,,
cam_rp,reason_low_cost,hasReason,,
