from_id,to_id,type,score,note
cam_r50,use_beginner,suitableFor,95,价格低、重量轻，适合入门学习
cam_z50,use_beginner,suitableFor,90,APS-C机身轻便，适合新手和日常记录
cam_xt50,use_beginner,suitableFor,82,机身轻便且外观直观，适合学习摄影
cam_a6700,use_travel,suitableFor,88,轻便APS-C机身，兼顾照片和视频
cam_xt50,use_travel,suitableFor,92,重量较低，适合旅行随拍
cam_x100vi,use_travel,suitableFor,96,定焦便携，适合街拍和旅行记录
cam_a7m4,use_portrait,suitableFor,88,全画幅均衡机型，镜头生态完整
cam_r6m2,use_portrait,suitableFor,86,全画幅且价格适中，适合人像创作
cam_zf,use_portrait,suitableFor,84,全画幅复古机身，适合人像和日常创作
cam_a7m4,use_video,suitableFor,90,支持4K60p，视频和照片能力均衡
cam_fx3,use_video,suitableFor,96,视频定位机型，适合专业视频创作
cam_r5m2,use_video,suitableFor,93,高端全画幅，支持8K规格
cam_a9m3,use_sports,suitableFor,98,高速连拍指标突出，适合运动题材
cam_z9,use_sports,suitableFor,94,旗舰机身，支持高速连拍和8K规格
cam_r3,use_sports,suitableFor,90,旗舰级机身，适合新闻和体育
cam_z8,use_professional,suitableFor,92,高端全画幅，性能接近旗舰
cam_z9,use_professional,suitableFor,96,旗舰定位，适合商业和专业拍摄
cam_gfx100m2,use_professional,suitableFor,90,中画幅高像素，适合商业棚拍
cam_r50,reason_low_cost,hasReason,,
cam_z50,reason_low_cost,hasReason,,
cam_xt50,reason_light,hasReason,,
cam_x100vi,reason_light,hasReason,,
cam_a6700,reason_light,hasReason,,
cam_a7m4,reason_full_frame,hasReason,,
cam_r6m2,reason_full_frame,hasReason,,
cam_zf,reason_full_frame,hasReason,,
cam_a7m4,reason_video,hasReason,,
cam_fx3,reason_video,hasReason,,
cam_r5m2,reason_video,hasReason,,
cam_a9m3,reason_fast,hasReason,,
cam_z9,reason_fast,hasReason,,
cam_r3,reason_fast,hasReason,,
cam_z8,reason_lens_ecosystem,hasReason,,
cam_a7m4,reason_lens_ecosystem,hasReason,,
cam_r6m2,reason_lens_ecosystem,hasReason,,
