from_id,to_id,type,score,note
cam_s9,brand_panasonic,producedBy,,
cam_s9,cat_ff,belongsToCategory,,
cam_s9,lens_p2060,compatibleWith,,
cam_s9,use_video,suitableFor,92,全画幅轻便视频机
cam_s9,use_travel,suitableFor,90,轻便适合旅行随拍
cam_s9,reason_video,hasReason,,
cam_s9,reason_light,hasReason,,
cam_s5m2,brand_panasonic,producedBy,,
cam_s5m2,cat_ff,belongsToCategory,,
cam_s5m2,lens_p2060,compatibleWith,,
cam_s5m2,use_video,suitableFor,90,全画幅视频能力均衡
cam_s5m2,use_portrait,suitableFor,82,全画幅适合人像创作
cam_s5m2,reason_video,hasReason,,
cam_s5m2,reason_full_frame,hasReason,,
cam_gh7,brand_panasonic,producedBy,,
cam_gh7,cat_m43,belongsToCategory,,
cam_gh7,lens_p1232,compatibleWith,,
cam_gh7,use_video,suitableFor,96,M43视频旗舰
cam_gh7,use_professional,suitableFor,86,适合专业视频工作流
cam_gh7,reason_video,hasReason,,
cam_g100d,brand_panasonic,producedBy,,
cam_g100d,cat_m43,belongsToCategory,,
cam_g100d,lens_p1232,compatibleWith,,
cam_g100d,use_beginner,suitableFor,86,价格低且适合Vlog入门
cam_g100d,use_video,suitableFor,86,轻量视频机
cam_g100d,reason_low_cost,hasReason,,
cam_g100d,reason_video,hasReason,,
cam_dlux8,brand_leica,producedBy,,
cam_dlux8,cat_compact,belongsToCategory,,
cam_dlux8,use_travel,suitableFor,84,高端便携旅行机
cam_dlux8,use_portrait,suitableFor,72,固定镜头适合日常人像
cam_dlux8,reason_light,hasReason,,
cam_q3,brand_leica,producedBy,,
cam_q3,cat_compact,belongsToCategory,,
cam_q3,use_travel,suitableFor,82,高画质便携全画幅
cam_q3,use_professional,suitableFor,80,高端全画幅固定镜头
cam_q3,reason_full_frame,hasReason,,
cam_om5,brand_om,producedBy,,
cam_om5,cat_m43,belongsToCategory,,
cam_om5,lens_om1245,compatibleWith,,
cam_om5,use_travel,suitableFor,88,轻量防护适合旅行户外
cam_om5,use_sports,suitableFor,76,M43长焦生态适合入门生态
cam_om5,reason_light,hasReason,,
cam_om1m2,brand_om,producedBy,,
cam_om1m2,cat_m43,belongsToCategory,,
cam_om1m2,lens_om1245,compatibleWith,,
cam_om1m2,use_sports,suitableFor,92,高速连拍与生态拍摄
cam_om1m2,use_professional,suitableFor,82,户外旗舰机身
cam_om1m2,reason_fast,hasReason,,
cam_gr3,brand_ricoh,producedBy,,
cam_gr3,cat_compact,belongsToCategory,,
cam_gr3,use_travel,suitableFor,92,口袋街拍旅行机
cam_gr3,use_beginner,suitableFor,78,固定镜头培养构图
cam_gr3,reason_light,hasReason,,
cam_gr3x,brand_ricoh,producedBy,,
cam_gr3x,cat_compact,belongsToCategory,,
cam_gr3x,use_travel,suitableFor,90,街拍便携
cam_gr3x,use_portrait,suitableFor,78,40mm视角适合环境人像
cam_gr3x,reason_light,hasReason,,
cam_x2d,brand_hasselblad,producedBy,,
cam_x2d,cat_mf,belongsToCategory,,
cam_x2d,use_professional,suitableFor,94,中画幅高像素商业风光
cam_x2d,use_portrait,suitableFor,82,中画幅质感适合高端人像
cam_x2d,reason_full_frame,hasReason,,
cam_pocket3,brand_dji,producedBy,,
cam_pocket3,cat_vlog_compact,belongsToCategory,,
cam_pocket3,use_video,suitableFor,94,云台稳定适合Vlog
cam_pocket3,use_travel,suitableFor,92,轻便口袋设备适合旅行记录
cam_pocket3,use_beginner,suitableFor,90,操作简单适合小白视频入门
cam_pocket3,reason_light,hasReason,,
cam_pocket3,reason_video,hasReason,,
lens_p1232,brand_panasonic,producedBy,,
lens_p2060,brand_panasonic,producedBy,,
lens_om1245,brand_om,producedBy,,
