id,name,Label,brand,category,price,releaseYear,weight,effectivePixels,ibisStops,afPoints,batteryShots,cardSlots,screenType,videoBitrate,mount,marketHotScore,sourcePlatform,marketNote
cam_a1,Alpha 1,CameraModel,索尼,全画幅微单,47999,2021,737,5010,5.5,759,420,2,触控屏,200Mbps,全画幅微单,91,品牌型号扩容,索尼热门/代表型号，适合professional场景
cam_a7s3,Alpha 7S III,CameraModel,索尼,全画幅微单,23999,2020,699,1210,5.5,759,420,2,翻折触控屏,200Mbps,全画幅微单,90,品牌型号扩容,索尼热门/代表型号，适合video场景
cam_zv1m2,ZV-1 II,CameraModel,索尼,Vlog便携相机,5499,2023,292,2010,0,315,420,1,翻折触控屏,200Mbps,Vlog便携相机,89,品牌型号扩容,索尼热门/代表型号，适合video场景
cam_r5,EOS R5,CameraModel,佳能,全画幅微单,21999,2020,738,4500,8,1053,420,2,触控屏,,全画幅微单,91,品牌型号扩容,佳能热门/代表型号，适合landscape场景
cam_r10_old,EOS R10,CameraModel,佳能,APS-C画幅微单,6799,2022,429,2420,0,651,420,1,触控屏,,APS-C画幅微单,90,品牌型号扩容,佳能热门/代表型号，适合beginner场景
cam_r8_dup,EOS R8,CameraModel,佳能,全画幅微单,10499,2023,461,2420,0,1053,420,1,触控屏,,全画幅微单,89,品牌型号扩容,佳能热门/代表型号，适合portrait场景
cam_r5c,EOS R5 C,CameraModel,佳能,全画幅微单,26999,2022,770,4500,0,1053,420,2,翻折触控屏,200Mbps,全画幅微单,88,品牌型号扩容,佳能热门/代表型号，适合video场景
cam_r1,EOS R1,CameraModel,佳能,全画幅微单,45999,2024,920,2420,8.5,1053,420,2,触控屏,,全画幅微单,87,品牌型号扩容,佳能热门/代表型号，适合sports场景
cam_z7m2,Z 7II,CameraModel,尼康,全画幅微单,14999,2020,705,4575,5,493,420,2,触控屏,,全画幅微单,91,品牌型号扩容,尼康热门/代表型号，适合landscape场景
cam_z5,Z 5,CameraModel,尼康,全画幅微单,7999,2020,675,2430,5,273,420,1,触控屏,,全画幅微单,90,品牌型号扩容,尼康热门/代表型号，适合beginner场景
cam_z30_new,Z 30,CameraModel,尼康,APS-C画幅微单,4999,2022,405,2088,0,209,420,1,翻折触控屏,200Mbps,APS-C画幅微单,89,品牌型号扩容,尼康热门/代表型号，适合video场景
cam_zfc,Z fc,CameraModel,尼康,APS-C画幅微单,6999,2021,445,2088,0,209,420,1,触控屏,,APS-C画幅微单,88,品牌型号扩容,尼康热门/代表型号，适合street场景
cam_z7,Z 7,CameraModel,尼康,全画幅微单,9999,2018,675,4575,5,493,300,1,触控屏,,全画幅微单,87,品牌型号扩容,尼康热门/代表型号，适合landscape场景
cam_z6m2,Z 6II,CameraModel,尼康,全画幅微单,9999,2020,705,2450,5,273,420,1,触控屏,,全画幅微单,86,品牌型号扩容,尼康热门/代表型号，适合portrait场景
cam_z6,Z 6,CameraModel,尼康,全画幅微单,7999,2018,675,2450,5,273,300,1,触控屏,,全画幅微单,85,品牌型号扩容,尼康热门/代表型号，适合portrait场景
cam_xh2,X-H2,CameraModel,富士,APS-C画幅微单,13999,2022,660,4020,7,425,420,2,触控屏,,APS-C画幅微单,91,品牌型号扩容,富士热门/代表型号，适合landscape场景
cam_xpro3,X-Pro3,CameraModel,富士,APS-C画幅微单,12999,2019,497,2610,0,425,300,2,触控屏,,APS-C画幅微单,90,品牌型号扩容,富士热门/代表型号，适合street场景
cam_xt4,X-T4,CameraModel,富士,APS-C画幅微单,8999,2020,607,2610,6.5,425,420,1,翻折触控屏,200Mbps,APS-C画幅微单,89,品牌型号扩容,富士热门/代表型号，适合video场景
cam_xt3,X-T3,CameraModel,富士,APS-C画幅微单,5999,2018,539,2610,0,425,300,1,触控屏,,APS-C画幅微单,88,品牌型号扩容,富士热门/代表型号，适合street场景
cam_gfx50s2,GFX 50S II,CameraModel,富士,中画幅微单,24999,2021,900,5140,6.5,425,420,2,触控屏,,中画幅微单,87,品牌型号扩容,富士热门/代表型号，适合studio场景
cam_gfx100s,GFX100S,CameraModel,富士,中画幅微单,39999,2021,900,10200,6,425,420,2,触控屏,,中画幅微单,86,品牌型号扩容,富士热门/代表型号，适合studio场景
cam_s1,Lumix S1,CameraModel,松下,全画幅微单,10999,2019,1021,2420,6,225,300,1,触控屏,,全画幅微单,91,品牌型号扩容,松下热门/代表型号，适合portrait场景
cam_s1r,Lumix S1R,CameraModel,松下,全画幅微单,16999,2019,1020,4730,6,225,300,2,触控屏,,全画幅微单,90,品牌型号扩容,松下热门/代表型号，适合landscape场景
cam_s1h,Lumix S1H,CameraModel,松下,全画幅微单,21999,2019,1164,2420,6,225,300,2,翻折触控屏,200Mbps,全画幅微单,89,品牌型号扩容,松下热门/代表型号，适合video场景
cam_s5,Lumix S5,CameraModel,松下,全画幅微单,7999,2020,714,2420,6.5,225,420,1,翻折触控屏,200Mbps,全画幅微单,88,品牌型号扩容,松下热门/代表型号，适合video场景
cam_s5m2x,Lumix S5 IIX,CameraModel,松下,全画幅微单,13999,2023,740,2420,6.5,779,420,2,翻折触控屏,200Mbps,全画幅微单,87,品牌型号扩容,松下热门/代表型号，适合video场景
cam_g9m2,Lumix G9 II,CameraModel,松下,M43微单,11999,2023,658,2520,8,779,420,1,触控屏,,M43微单,86,品牌型号扩容,松下热门/代表型号，适合sports场景
cam_gh6,Lumix GH6,CameraModel,松下,M43微单,9999,2022,823,2520,7.5,315,420,1,翻折触控屏,200Mbps,M43微单,85,品牌型号扩容,松下热门/代表型号，适合video场景
cam_gh5m2,Lumix GH5 II,CameraModel,松下,M43微单,7999,2021,727,2030,6.5,225,420,1,翻折触控屏,200Mbps,M43微单,84,品牌型号扩容,松下热门/代表型号，适合video场景
cam_g95,Lumix G95,CameraModel,松下,M43微单,4999,2019,536,2030,5,49,300,1,触控屏,,M43微单,83,品牌型号扩容,松下热门/代表型号，适合beginner场景
